player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
Ahmad Clark,Albany,2018-19,20.0,61,169,32,87,49,61,48,32,5,7,66,50,20.0,71,192,14,69,65,84,66,18,5,7,45,53
Ahmad Frost,Maryland-Eastern Shore,2018-19,20.0,28,85,16,48,4,8,16,5,0,8,23,19,17.87,23,63,10,29,8,16,13,8,0,14,25,10
Ahmad Gilbert,Rider,2018-19,0.0,11,35,6,22,1,1,10,5,1,0,5,6,15.65,9,32,4,16,6,9,7,7,1,5,10,7
Ahmad Muhammad,Illinois Tech,2018-19,20.0,1,1,0,0,0,0,0,0,0,0,0,2,20.0,0,3,0,1,0,0,0,0,0,0,0,0
Ahmed Ali,Washington State,2018-19,20.0,41,100,26,72,8,9,51,9,0,12,21,15,17.45,34,94,18,59,14,19,40,12,1,6,18,23
Ahmed Hill,Virginia Tech,2018-19,20.0,71,181,36,100,16,20,26,11,1,12,59,19,14.78,82,161,34,78,30,38,16,13,1,9,41,24
Ahmed Ismail,IUPUI,2018-19,0.0,41,71,3,5,30,44,16,0,9,30,55,33,17.87,48,77,1,1,28,41,9,3,8,34,45,20
Ahmed Milton,,2018-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Ahsan Asadullah,Lipscomb,2018-19,20.0,42,73,0,0,8,14,8,13,7,22,47,17,20.0,35,72,0,0,22,30,12,5,8,24,29,14
Aidan Saunders,Oral Roberts,2018-19,20.0,19,54,6,20,6,10,10,6,3,6,10,15,14.78,16,52,2,9,13,20,10,4,1,3,12,15
Aidan Waldrum,Birmingham-Southern,2018-19,20.0,1,1,0,0,0,0,0,0,0,1,4,2,14.97,0,0,0,0,0,0,1,0,0,0,0,0
Aidas Kavaliauskas,Fairfield,2018-19,20.0,9,22,3,8,10,12,32,8,0,3,15,23,20.0,17,37,7,21,11,16,34,17,0,0,19,16
